SKU,UOM,id,product_id,Max price,Discounted price
Beans Cowpea [Chauli],500 Gms,761,210,65,62
Beans Broad [Chikkidi],250 Gms,175,205,55,55
Beans Broad [Chikkidi],500 Gms,765,205,109,103
Mixed Sprouts,200 Gms,163,179,31,31
Moong Sprouts,200 Gms,148,181,40,40
Brown Channa Sprouts,200 Gms,157,184,33,31
Brown Channa Sprouts,100 Gms,158,184,16,16
Morning Protein Kit,500 Gms,32,72,126,126
Matki Sprouts,200 Gms,147,183,47,47
Diced Pumpkin Red,250 Gms,697,565,82,82
Pumpkin Red,3 Kg,285,298,530,500
Sliced Pumpkin Red,250 Gms,283,255,82,82
Sliced Pumpkin Red,500 Gms,1039,255,164,155
Grated Green Cabbage,200 Gms,327,311,27,27
Peeled Baby Corn,1 x (250 Gms),203,261,97,97
Peeled Baby Corn,2 x (250 Gms),821,261,194,183
Carrot Batonnets,250 Gms,695,563,38,38
Carrot Batonnets,500 Gms,856,563,77,72
Cut Carrot Orange + Green Peas,200 Gms,319,320,48,45
French Beans [Julienne Cut],200 Gms,316,317,102,102
French Beans [Julienne Cut],500 Gms,841,317,254,239
Cut Jackfruit Raw ,200 Gms,1634,471,50,50
Cut Cucumber Green [Ozone-Washed],250 Gms,133,166,53,53
Cut Cucumber Green [Ozone-Washed],500 Gms,847,166,107,100
Grated Carrot Orange,200 Gms,329,310,36,36
Yam,500 Gms,124,116,83,83
Yam,1 Kg,830,116,165,155
Cut Yam,200 Gms,122,124,69,69
Cut Yam,500 Gms,849,124,171,161
Carrot Orange + French Beans [Julienne cut],200,317,318,108,108
Carrot Cubes,250 Gms,694,562,46,48
Sliced Onion,200 Gms,303,315,24,24
Grated Red Cabbage,200 Gms,328,312,49,49
Brinjal Nagpur,500 gms,1569,955,38,34
Brinjal Nagpur,250 gms,1570,955,19,19
Onion White,500 Gms,197,238,39,39
Onion White,1 Kg,1022,238,77,72
Banana Raw,250 Gms (2-3 pcs),673,259,29,29
